name,company,image,for_gender,main accords,top notes,middle notes,base notes
N?roli & Petit Grain Printanier 100 Bon,100 Bon,https://fimgs.net/mdimg/perfume/375x500.44803.jpg,for women and men,"{'citrus': '100', 'white floral': '83.7368', 'aromatic': '44.7106'}","Mandarin Orange, Orange, Lemon","Orange Blossom, Neroli, Jasmine","Petitgrain, Vanilla"
Orange Blossom Petal 1000 Flowers,1000 Flowers,https://fimgs.net/mdimg/perfume/375x500.43043.jpg,for women and men,"{'white floral': '100', 'citrus': '85.62', 'green': '65.8139', 'aromatic': '48.7209', 'fresh spicy': '48.4497'}",,,
Chambord 12 Parfumeurs Francais,12 Parfumeurs Francais,https://fimgs.net/mdimg/perfume/375x500.33185.jpg,for women,"{'fresh spicy': '100', 'woody': '90.598', 'citrus': '69.4607', 'aromatic': '68.2598', 'warm spicy': '59.6813', 'patchouli': '50.5882', 'earthy': '48.5293'}","Bergamot, Grapefruit, Orange","Pepper, Patchouli, Geranium, Neroli","Woody Notes, Vetiver, Musk"
Citrus Oud 1667,1667,https://fimgs.net/mdimg/perfume/375x500.67734.jpg,for women and men,"{'citrus': '100', 'oud': '76.6665', 'fresh': '67.3333', 'fresh spicy': '58.0001', 'white floral': '53.3333'}",Citruses,Neroli,Agarwood (Oud)
Orange Kush 19-69,19-69,https://fimgs.net/mdimg/perfume/375x500.69259.jpg,for women and men,"{'citrus': '100', 'white floral': '61.0834', 'woody': '46.1666', 'aromatic': '46.0833', 'fresh spicy': '46', 'sweet': '45.9167'}","Orange, Mandarin Orange, Red Apple, Sicilian Bergamot, Grapefruit","Mandarin Blossom, Jasmine, Lily, cannabis, Ylang-Ylang","Grapefruit Leaf, Vanilla, Sandalwood, Cedar"
Verbena 1907,1907,https://fimgs.net/mdimg/perfume/375x500.43887.jpg,for women and men,"{'citrus': '100', 'fresh spicy': '82.3363', 'white floral': '79.0654', 'aromatic': '64.3458', 'herbal': '46.3553', 'powdery': '44.7197'}","Lemon Verbena, Brazilian Orange, Lemongrass, Calabrian bergamot","Caraway, Egyptian Jasmine, Lily-of-the-Valley, Geranium","Orange Blossom, Heliotrope"
Rhubarb and Citrus Cologne 4160 Tuesdays,4160 Tuesdays,https://fimgs.net/mdimg/perfume/375x500.51562.jpg,for women and men,"{'citrus': '100', 'green': '69.3192', 'aromatic': '60.6808', 'fruity': '52.3405', 'fresh spicy': '46.2339'}","Grapefruit, Lemon, Mandarin Orange","Rhubarb, Bergamot",Green Leaves
4711 Remix Cologne Edition 2018 4711,4711,https://fimgs.net/mdimg/perfume/375x500.49236.jpg,for women and men,"{'citrus': '100', 'fresh': '50.1303', 'fresh spicy': '45.3912', 'woody': '44.0956'}","Bergamot, Lemon, Tea","Bitter Orange, Neroli, Gentiana","Musk, Cedar, Cashmeran"
Troika Juchten 4711,4711,https://fimgs.net/mdimg/perfume/375x500.60810.jpg,for women and men,"{'citrus': '100', 'aromatic': '77', 'woody': '75.4001', 'fresh spicy': '64.0002', 'powdery': '50', 'mossy': '50', 'musky': '50', 'floral': '48.0001', 'earthy': '44.0001'}","Bergamot, Lemon","Thyme, Neroli, Carnation","Cedar, Musk, Oakmoss, Isobutyl Quinoline"
Blood Orange Aaron Terence Hughes,Aaron Terence Hughes,https://fimgs.net/mdimg/perfume/375x500.58430.jpg,for women and men,"{'citrus': '100', 'musky': '50.6316', 'powdery': '48.5685', 'fruity': '45.7685'}","Mandarin Orange, Blood Orange, Tangerine",Jasmine Sambac,"Musk, Amber, Sandalwood"
